Questions,Answers
What is the minimum age requirement to apply for a driver's licence in Ontario?,The minimum age requirement is 16 years old.
What are the two levels of licensing in Ontario's graduated licensing system?,The two levels are G1 and G2 licences.
How long does it take to obtain a full G licence in Ontario?,"It takes a minimum of one and a half years, but you have up to five years to complete the process."
What are the conditions associated with a G1 licence in Ontario?,"The conditions include being accompanied by a licensed driver, not driving on certain highways, avoiding driving between 12:00 am and 5:00 am, and maintaining a zero blood alcohol level while driving."
How long must a G1 licence be held before applying for a G2 licence?,"A G1 licence must be held for 12 months before applying for a G2 licence, which can be reduced to eight months with an approved Drivers Education course."
What are the requirements to obtain a G2 licence?,"To obtain a G2 licence, you must have held a G1 licence for 12 months (or eight months with an approved course) and pass the G1 road test."
How long must a G2 licence be held before applying for a full G licence?,A G2 licence must be held for 12 months before applying for a full G licence.
What is the purpose of the demerit point system in Ontario?,The demerit point system is used to monitor driving records and penalize drivers for traffic offences.
What is the maximum number of demerit points for a single offence in Ontario?,The maximum number of demerit points for a single offence is seven.
How long do demerit points stay on a driving record in Ontario?,Demerit points stay on a driving record for two years.
How long will fully licensed drivers have their licence privileges suspended if they accumulate 15 demerit points?,Fully licensed drivers will have their licence privileges suspended for 30 days if they accumulate 15 demerit points.
How often do drivers need to renew their licences in Ontario?,Drivers need to renew their licences every five years.
What is the renewal timeframe for an expired driver's licence in Ontario?,"Driver's licences can be renewed up to 1 year after they expire, but it's recommended to renew them 180 days before the expiration date."
How often must driver's licence photos be renewed?,Driver's licence photos must be renewed every 10 years.
What requirements must be met for drivers aged 80 and older to renew their licences?,"Drivers aged 80 and older must undergo a vision test, driver record review, attend a group education session, and complete an in-class screening exercise. They may also be required to take a road test if necessary."
What is the first thing you must do if you are involved in an accident in which you are directly or indirectly involved?,You must stay at the scene of the accident or immediately return to it.
When should you call an ambulance if someone appears to be injured in an accident?,"You should call an ambulance if someone appears to be injured. However, you should not touch the injured person unless you have medical training or unless their needs are clear."
"Under what circumstances is there no legal requirement to call and wait for the police after an accident involving property damage under $2,000 and no personal injury?","If the accident does not involve personal injury, none of the drivers are suspected of a law violation, and the property damage is under $2,000, there is no legal requirement to call and wait for the police. In most cases, you are required to take your car to a Collision Reporting Centre."
